"nflId","displayName","position","avg_goe","std_goe","avg_error","n_plays"
47859,"Terry McLaurin","WR",0.013078900055165,0.148366074696562,0.11915923405294,290
53463,"Elijah Moore","WR",0.0127814024232627,0.161950576567429,0.127677968825327,214
52430,"Justin Jefferson","WR",0.0127644593867129,0.156835926758001,0.121621178885673,286
44860,"Joe Mixon","RB",0.0123195389215897,0.10289216677641,0.0711240831723544,177
54613,"Khalil Shakir","WR",0.0120863977347361,0.155600015754467,0.127746035555687,59
42489,"Stefon Diggs","WR",0.0119032120643225,0.152266902376386,0.123606783383224,231
53855,"Quintin Morris","TE",0.0115820199106365,0.191685964969872,0.158139321201763,68
42357,"DeVante Parker","WR",0.0113654019527131,0.119009735080381,0.0897225780218164,170
46277,"Cedrick Wilson","WR",0.0105892092930012,0.158260782576993,0.126427747635349,71
45185,"Kendrick Bourne","WR",0.0105301427489601,0.168104663932707,0.132295961738709,112
53518,"Nico Collins","WR",0.0105027424681954,0.13287580014914,0.100420894974149,135
44003,"Marcus Johnson","WR",0.0102050393201568,0.149288533749225,0.11441249651788,98
42412,"Tyler Lockett","WR",0.0099243500561852,0.162694489066409,0.127419594166737,210
52630,"Eno Benjamin","RB",0.00974163261869652,0.0955454383099318,0.0645214428810274,140
54572,"Dameon Pierce","RB",0.00940218488138739,0.110505138401135,0.0700916705108229,85
44820,"Christian McCaffrey","RB",0.00912283332909038,0.10156157530999,0.0719026835875847,134
46111,"Mike Gesicki","TE",0.00877759456740793,0.171883450052873,0.14705536031371,188
46116,"Christian Kirk","WR",0.00853351283828033,0.180063755597794,0.149057926641944,272
54473,"Drake London","WR",0.00817487235740851,0.172281038012117,0.134432801291285,167
55157,"Peyton Hendershot","TE",0.00754910400306574,0.171265946022096,0.144157760676164,63
48233,"Alec Ingold","FB",0.0075443239544322,0.107854749357931,0.0772674819554414,75
53549,"Rhamondre Stevenson","RB",0.00727268264968692,0.0948371285455077,0.0677094292956715,132
44819,"Mike Williams","WR",0.00716937695974897,0.164332616375555,0.126959431964068,251
43722,"J.D. McKissic","RB",0.00689487931692114,0.088917423345625,0.061710411071103,120
54475,"Garrett Wilson","WR",0.00684008746314135,0.17738938248695,0.14733748735409,238
46096,"Rashaad Penny","RB",0.00670155308022645,0.0972108913607765,0.0703531980033705,61
43329,"Sterling Shepard","WR",0.00642794918085152,0.156277617310906,0.118308366858776,69
46071,"Saquon Barkley","RB",0.00635283502058356,0.0823197521890113,0.0591080453966724,138
44816,"Leonard Fournette","RB",0.00628447702573229,0.0870927262785367,0.0634587041721915,214
43495,"Mike Thomas","WR",0.00598887549327423,0.122935313394128,0.0891590077116909,90
44931,"Mack Hollins","WR",0.00596240562457786,0.138308830736443,0.103371199378417,261
52608,"Quez Watkins","WR",0.00558918294784185,0.166931391540765,0.1288388418403,140
54517,"George Pickens","WR",0.00529179304761314,0.135722991037986,0.102640049857828,246
47807,"Josh Jacobs","RB",0.00526619501902723,0.0814448514942037,0.058337903614951,139
46243,"Marquez Valdes-Scantling","WR",0.00439329214446929,0.156030506105565,0.122047991086952,258
53074,"Nick Westbrook-Ikhine","WR",0.00435454372237872,0.155887074521081,0.125267944750009,118
54499,"Christian Watson","WR",0.00395457124879415,0.167558595911706,0.143624421705925,58
48489,"David Sills","WR",0.00370805270319089,0.172555404334362,0.139200458406016,90
47791,"T.J. Hockenson","TE",0.00363342654431301,0.180960843223583,0.147808357943869,210
40026,"Marquise Goodwin","WR",0.00361601355860039,0.172533422590329,0.132416117358728,95
39989,"Robert Woods","WR",0.00332012591332397,0.181214011223626,0.143436679429131,130
52433,"Brandon Aiyuk","WR",0.00330060341078626,0.156663519026281,0.12468971654241,220
